issue_id|song_id|song_name|suggested_cu_id|issue_type|description|fix_action
232|312|Mice Rhymes|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
233|312|Mice Rhymes|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
234|315|Clap your Hands|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
235|315|Clap your Hands|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
236|316|Toe Tittly|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
237|316|Toe Tittly|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
238|316|Toe Tittly|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
239|317|The Truck Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
240|317|The Truck Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
241|320|Pterodactyl Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
242|320|Pterodactyl Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
243|320|Pterodactyl Song|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
244|320|Pterodactyl Song|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
245|322|A Chubby Little Snowman? Voici in ...|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
246|324|Snowflakes|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
247|325|Spring is Coming|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
248|326|Welcome Summer|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
249|328|The Pie Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
250|328|The Pie Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
251|329|Keeper of the Bees|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
252|330|What will we Do|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
253|333|We're Jumping|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
254|333|We're Jumping|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
255|333|We're Jumping|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
256|334|Pony Rides|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
257|334|Pony Rides|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
258|337|Baby's Boat|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
259|340|When Its Autumn|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
260|342|Walk Old  Squirrel|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
261|342|Walk Old  Squirrel|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
262|342|Walk Old  Squirrel|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
263|342|Walk Old  Squirrel|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
264|343|Gray Squirrel|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
265|343|Gray Squirrel|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
266|344|The Gate Swings Open|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
267|344|The Gate Swings Open|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
268|345|The Turkey is a funny bird|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
269|346|The Turkey Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
270|346|The Turkey Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
271|346|The Turkey Song|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
272|347|Owl Moon|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
273|350|Skin and Bones|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
274|350|Skin and Bones|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
275|350|Skin and Bones|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
276|355|Halloween farm|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
277|356|I'm a Scarecrow Tall|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
278|357|Tigers are Sleeping|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
279|357|Tigers are Sleeping|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
280|357|Tigers are Sleeping|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
281|357|Tigers are Sleeping|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
282|357|Tigers are Sleeping|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
283|358|I Shut the Door|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
284|359|Creepy Crawly Spiders|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
285|360|There's a Spider on the Floor|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
286|360|There's a Spider on the Floor|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
287|360|There's a Spider on the Floor|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
288|360|There's a Spider on the Floor|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
289|361|Brush your Teeth|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
290|361|Brush your Teeth|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
291|361|Brush your Teeth|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
292|362|Clap When the Spirit Says Clap|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
293|362|Clap When the Spirit Says Clap|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
294|364|Welcome Summer|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
295|365|Wahoo Wahoo Wahoo|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
296|365|Wahoo Wahoo Wahoo|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
297|368|Phoebe|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
298|368|Phoebe|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
299|369|The Fishing Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
300|369|The Fishing Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
301|369|The Fishing Song|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
302|369|The Fishing Song|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
303|370|The Swimming Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
304|370|The Swimming Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
305|370|The Swimming Song|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
306|371|Swimming, Swimming  in the Swimming Pool|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
307|372|This Fine Old Woman|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
308|372|This Fine Old Woman|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
309|373|My Little Dog|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
310|374|Maggie's in the Weeds|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
311|374|Maggie's in the Weeds|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
312|376|Wild Bee|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
313|377|Head and Thorax|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
314|377|Head and Thorax|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
315|377|Head and Thorax|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
316|377|Head and Thorax|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
317|381|I'm Going to Take a Bath|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
318|381|I'm Going to Take a Bath|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
319|381|I'm Going to Take a Bath|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
320|383|Spring is Coming|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
321|386|Springtime Lullabye|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
322|387|Crocuses and Scilla|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
323|391|The Wiggly Worm|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
324|392|I had a little piggy|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
325|392|I had a little piggy|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
326|394|Little Robin Red Breast|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
327|395|Where are the Froggies?|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
328|395|Where are the Froggies?|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
329|396|Hippity Hop|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
330|396|Hippity Hop|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
331|396|Hippity Hop|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
332|398|Pat-a-cake|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
333|398|Pat-a-cake|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
334|398|Pat-a-cake|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
335|401|I Hear Thunder/ I see blue skies|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
336|402|Puddles|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
337|403|We're Jumping|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
338|403|We're Jumping|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
339|403|We're Jumping|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
340|404|Ring around my Rosy|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
341|404|Ring around my Rosy|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
342|404|Ring around my Rosy|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
343|405|See My Fingers|CU#219|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
344|405|See My Fingers|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
345|405|See My Fingers|CU#221|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
346|405|See My Fingers|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
347|405|See My Fingers|CU#222|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
348|405|See My Fingers|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
349|406|What Do You Suppose?/ Bee Freeze|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
350|406|What Do You Suppose?/ Bee Freeze|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
351|406|What Do You Suppose?/ Bee Freeze|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
352|407|Mosquitos|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
353|407|Mosquitos|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
354|408|Poor Little Sandy Girl|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
355|410|Close your eyes and Dream|CU#219|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
356|410|Close your eyes and Dream|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
357|410|Close your eyes and Dream|CU#221|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
358|410|Close your eyes and Dream|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
359|410|Close your eyes and Dream|CU#222|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
360|410|Close your eyes and Dream|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
361|415|Mon petit lapin a bien du chagrin|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
362|415|Mon petit lapin a bien du chagrin|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
363|416|Stroke The Bunny|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
364|416|Stroke The Bunny|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
365|419|Jean Petit qui danse|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
366|419|Jean Petit qui danse|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
367|419|Jean Petit qui danse|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
368|422|A Monkey and a Hound  / Le singe et le chien|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
369|422|A Monkey and a Hound  / Le singe et le chien|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
370|424|I Have a Little Drum|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
371|424|I Have a Little Drum|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
372|427|The Cookie Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
373|427|The Cookie Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
374|433|Wiggle Your Fingers|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
375|433|Wiggle Your Fingers|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
376|433|Wiggle Your Fingers|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
377|433|Wiggle Your Fingers|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
378|434|Jump Jim Joe|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
379|434|Jump Jim Joe|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
380|435|Here We Go Zodeo|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
381|435|Here We Go Zodeo|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
382|435|Here We Go Zodeo|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
383|444|Alabama Gals|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
384|444|Alabama Gals|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
385|444|Alabama Gals|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
386|446|We're floating down the river|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
387|448|Old Bald Eagle|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
388|457|Mice Rhymes|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
389|457|Mice Rhymes|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
390|460|Clap your Hands|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
391|460|Clap your Hands|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
392|461|Toe Tittly|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
393|461|Toe Tittly|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
394|461|Toe Tittly|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
395|462|The Truck Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
396|462|The Truck Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
397|465|Pterodactyl Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
398|465|Pterodactyl Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
399|465|Pterodactyl Song|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
400|465|Pterodactyl Song|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
401|473|The Pie Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
402|473|The Pie Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
403|474|Keeper of the Bees|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
404|478|We're Jumping|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
405|478|We're Jumping|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
406|478|We're Jumping|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
407|482|Stroke The Bunny|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
408|482|Stroke The Bunny|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
409|488|A Monkey and a Hound  / Le singe et le chien|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
410|488|A Monkey and a Hound  / Le singe et le chien|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
411|490|I Have a Little Drum|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
412|490|I Have a Little Drum|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
413|493|The Cookie Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
414|493|The Cookie Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
415|499|Wiggle Your Fingers|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
416|499|Wiggle Your Fingers|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
417|499|Wiggle Your Fingers|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
418|499|Wiggle Your Fingers|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
419|502|Mice Rhymes|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
420|502|Mice Rhymes|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
421|505|Clap your Hands|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
422|505|Clap your Hands|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
423|506|Toe Tittly|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
424|506|Toe Tittly|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
425|506|Toe Tittly|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
426|507|The Truck Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
427|507|The Truck Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
428|510|Pterodactyl Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
429|510|Pterodactyl Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
430|510|Pterodactyl Song|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
431|510|Pterodactyl Song|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
432|518|The Pie Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
433|518|The Pie Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
434|523|We're Jumping|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
435|523|We're Jumping|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
436|523|We're Jumping|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
437|530|Nage, nage, nage|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
438|531|Un bateau, Mamie, Mamie|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
