row_num|song_id|song_name|theme|suggested_cu_id|subject|lesson_topic|relevance|teacher_rationale
|136|Douglas Mountain|Bedtime & Lullaby, Nature & Plants|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|136|Douglas Mountain|Bedtime & Lullaby, Nature & Plants|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|255|Lavender's Blue|Bedtime & Lullaby, Nature & Plants|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|255|Lavender's Blue|Bedtime & Lullaby, Nature & Plants|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|255|Lavender's Blue|Bedtime & Lullaby, Nature & Plants|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|255|Lavender's Blue|Bedtime & Lullaby, Nature & Plants|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|149|Catch A Falling Star|Bedtime & Lullaby, Seasons & Weather|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|149|Catch A Falling Star|Bedtime & Lullaby, Seasons & Weather|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|149|Catch A Falling Star|Bedtime & Lullaby, Seasons & Weather|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|149|Catch A Falling Star|Bedtime & Lullaby, Seasons & Weather|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|149|Catch A Falling Star|Bedtime & Lullaby, Seasons & Weather|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Wishing on a star encourages gratitude and positive thinking about the future
|386|Springtime Lullabye|Bedtime & Lullaby, Seasons & Weather, Water & Sea|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|386|Springtime Lullabye|Bedtime & Lullaby, Seasons & Weather, Water & Sea|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|386|Springtime Lullabye|Bedtime & Lullaby, Seasons & Weather, Water & Sea|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|386|Springtime Lullabye|Bedtime & Lullaby, Seasons & Weather, Water & Sea|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|213|My Bonnie Lies Over the Ocean|Bedtime & Lullaby, Water & Sea|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|213|My Bonnie Lies Over the Ocean|Bedtime & Lullaby, Water & Sea|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|213|My Bonnie Lies Over the Ocean|Bedtime & Lullaby, Water & Sea|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|213|My Bonnie Lies Over the Ocean|Bedtime & Lullaby, Water & Sea|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|213|My Bonnie Lies Over the Ocean|Bedtime & Lullaby, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events|secondary|Describing the ocean setting builds descriptive language and vocabulary
|405|See My Fingers|Body Parts, Dance & Movement, Numbers & Counting|CU#11|Math & Numeracy|Count to 50 starting at any number; read and write numbers to 50 (Gr 1)|primary|Counting fingers 1-10 builds one-to-one correspondence and number sequence
|405|See My Fingers|Body Parts, Dance & Movement, Numbers & Counting|CU#142|Math & Numeracy|Identify, describe, extend, and create patterns (AB, ABC, AABB) (Gr 1)|secondary|Finger patterns and sequences reinforce pattern recognition through kinesthetic learning
|187|Everybody knows I love my toes|Body Parts, Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|187|Everybody knows I love my toes|Body Parts, Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|350|Skin and Bones|Body Parts, Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Celebration songs encourage gratitude, positive reflection, and community joy
|350|Skin and Bones|Body Parts, Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Celebrating together builds community awareness and respect for shared traditions
|350|Skin and Bones|Body Parts, Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Group celebrations foster cooperation, turn-taking, and shared experience
|361|Brush your Teeth|Body Parts, Numbers & Counting|CU#11|Math & Numeracy|Count to 50 starting at any number; read and write numbers to 50 (Gr 1)|primary|Counting brushing motions and teeth builds number sequence with daily routine context
|361|Brush your Teeth|Body Parts, Numbers & Counting|CU#15|Math & Numeracy|Mentally find 10 more or 10 less than a given number (Gr 1)|secondary|Time-based counting (2-minute brushing) supports 10-more/less reasoning concepts
|524|J'aime la galette|Cultural & Folk, Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|524|J'aime la galette|Cultural & Folk, Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|524|J'aime la galette|Cultural & Folk, Food & Cooking|CU#236|Language & Vocabulary|Explore word relationships and nuances (Gr 1)|secondary|French food vocabulary and cross-linguistic comparison explores word relationships
|14|All around the Kitchen|Cultural & Folk, Food & Cooking, Water & Sea|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|14|All around the Kitchen|Cultural & Folk, Food & Cooking, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|14|All around the Kitchen|Cultural & Folk, Food & Cooking, Water & Sea|CU#142|Math & Numeracy|Identify, describe, extend, and create patterns (AB, ABC, AABB) (Gr 1)|secondary|Kitchen movement patterns (stir, pour, mix, chop) reinforce pattern recognition
|398|Pat-a-cake|Dance & Movement, Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|398|Pat-a-cake|Dance & Movement, Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|398|Pat-a-cake|Dance & Movement, Food & Cooking|CU#142|Math & Numeracy|Identify, describe, extend, and create patterns (AB, ABC, AABB) (Gr 1)|secondary|Pat-a-cake hand-clapping patterns reinforce AB pattern recognition through movement
|398|Pat-a-cake|Dance & Movement, Food & Cooking|CU#236|Language & Vocabulary|Explore word relationships and nuances (Gr 1)|secondary|Rhyming words in pat-a-cake build phonological awareness and word play skills
|102|Jubilee|Dance & Movement, Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Celebration songs encourage gratitude, positive reflection, and community joy
|102|Jubilee|Dance & Movement, Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Celebrating together builds community awareness and respect for shared traditions
|102|Jubilee|Dance & Movement, Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Group celebrations foster cooperation, turn-taking, and shared experience
|155|Going for a Walk|Dance & Movement, Routines & Social Skills|CU#209|Classroom Routine & Approaches to Learning|Transitioning between activities/subjects|primary|Transition song helps children shift focus and prepare for next activity or subject
|155|Going for a Walk|Dance & Movement, Routines & Social Skills|CU#210|Classroom Routine & Approaches to Learning|Following 2-3 step verbal directions|secondary|Song lyrics with action cues practice following multi-step directions
|157|Love Grows|Family, Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|157|Love Grows|Family, Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|157|Love Grows|Family, Feelings & Emotions|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Exploring love within family relationships builds perspective-taking and empathy
|209|Mama's Little Baby loves Shortenin' Bread|Family, Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|209|Mama's Little Baby loves Shortenin' Bread|Family, Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|209|Mama's Little Baby loves Shortenin' Bread|Family, Food & Cooking|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Family food traditions encourage gratitude for caregivers and shared meals
|400|Mama's Sleeping|Family, Routines & Social Skills|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|primary|Quiet nap song supports calm-down strategies and self-regulation practice
|400|Mama's Sleeping|Family, Routines & Social Skills|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Quiet-time song practice builds stress management and impulse control skills
|400|Mama's Sleeping|Family, Routines & Social Skills|CU#213|Classroom Routine & Approaches to Learning|Clean-up and end-of-day routine|secondary|Quiet routine parallels end-of-day wind-down and relaxation expectations
|163|Reaching for the Stars|Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|163|Reaching for the Stars|Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|163|Reaching for the Stars|Feelings & Emotions|CU#260|SEL|Setting and working toward a simple personal goal|secondary|Reaching for stars metaphor supports goal-setting discussions and determination
|181|I Think You're Wonderful|Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|181|I Think You're Wonderful|Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|181|I Think You're Wonderful|Feelings & Emotions|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Expressing appreciation for others builds empathy and perspective-taking skills
|331|I Love to Hear the Sounds|Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|331|I Love to Hear the Sounds|Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|331|I Love to Hear the Sounds|Feelings & Emotions|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|secondary|Listening to sounds promotes mindful awareness of the present environment
|476|I Love to Hear the Sounds|Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|476|I Love to Hear the Sounds|Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|476|I Love to Hear the Sounds|Feelings & Emotions|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|secondary|Listening to sounds promotes mindful awareness of the present environment
|521|I Love to Hear the Sounds|Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|521|I Love to Hear the Sounds|Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|521|I Love to Hear the Sounds|Feelings & Emotions|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|secondary|Listening to sounds promotes mindful awareness of the present environment
|153|Dreams Of Harmony|Feelings & Emotions, Music & Instruments|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|153|Dreams Of Harmony|Feelings & Emotions, Music & Instruments|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|153|Dreams Of Harmony|Feelings & Emotions, Music & Instruments|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|secondary|Harmonious music and imagery promotes calm, mindful awareness
|284|I love to Hear the Sounds|Feelings & Emotions, Music & Instruments|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|284|I love to Hear the Sounds|Feelings & Emotions, Music & Instruments|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|212|May There Always Be Sunshine|Feelings & Emotions, Seasons & Weather|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|212|May There Always Be Sunshine|Feelings & Emotions, Seasons & Weather|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|212|May There Always Be Sunshine|Feelings & Emotions, Seasons & Weather|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Wishing well for others builds empathy, generosity, and perspective-taking
|341|Glorious Day|Feelings & Emotions, Seasons & Weather|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|341|Glorious Day|Feelings & Emotions, Seasons & Weather|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|2|Marjorie Mutton Pie|Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|2|Marjorie Mutton Pie|Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|208|Mix the Bannock|Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|208|Mix the Bannock|Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|208|Mix the Bannock|Food & Cooking|CU#210|Classroom Routine & Approaches to Learning|Following 2-3 step verbal directions|secondary|Cooking song with sequential steps practices following multi-step verbal instructions
|208|Mix the Bannock|Food & Cooking|CU#22|Math & Numeracy|Measure lengths using non-standard/standard units; compare lengths (Gr 1)|secondary|Recipe and cooking context introduces measurement concepts (cups, spoons, handfuls)
|262|Gingerbread man|Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|262|Gingerbread man|Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|262|Gingerbread man|Food & Cooking|CU#210|Classroom Routine & Approaches to Learning|Following 2-3 step verbal directions|secondary|Cooking song with sequential steps practices following multi-step verbal instructions
|262|Gingerbread man|Food & Cooking|CU#22|Math & Numeracy|Measure lengths using non-standard/standard units; compare lengths (Gr 1)|secondary|Recipe and cooking context introduces measurement concepts (cups, spoons, handfuls)
|305|Soup|Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|305|Soup|Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|305|Soup|Food & Cooking|CU#210|Classroom Routine & Approaches to Learning|Following 2-3 step verbal directions|secondary|Cooking song with sequential steps practices following multi-step verbal instructions
|305|Soup|Food & Cooking|CU#22|Math & Numeracy|Measure lengths using non-standard/standard units; compare lengths (Gr 1)|secondary|Recipe and cooking context introduces measurement concepts (cups, spoons, handfuls)
|397|Johnny Porkpie|Food & Cooking|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|397|Johnny Porkpie|Food & Cooking|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|397|Johnny Porkpie|Food & Cooking|CU#76|Literacy & Phonics — Speaking & Listening|Tell a story or recount an experience with facts and descriptive details (Gr 2)|secondary|Humorous food story encourages narrative retelling with descriptive details
|397|Johnny Porkpie|Food & Cooking|CU#236|Language & Vocabulary|Explore word relationships and nuances (Gr 1)|secondary|Food humor and wordplay explores word relationships and double meanings
|328|The Pie Song|Food & Cooking, Music & Instruments|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|328|The Pie Song|Food & Cooking, Music & Instruments|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|427|The Cookie Song|Food & Cooking, Music & Instruments|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|427|The Cookie Song|Food & Cooking, Music & Instruments|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|427|The Cookie Song|Food & Cooking, Music & Instruments|CU#24|Math & Numeracy|Represent and interpret data with up to 3 categories (Gr 1)|secondary|Cookie types, shapes, and decorations can be sorted into categories for data collection
|473|The Pie Song|Food & Cooking, Music & Instruments|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|473|The Pie Song|Food & Cooking, Music & Instruments|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|493|The Cookie Song|Food & Cooking, Music & Instruments|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|493|The Cookie Song|Food & Cooking, Music & Instruments|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|493|The Cookie Song|Food & Cooking, Music & Instruments|CU#24|Math & Numeracy|Represent and interpret data with up to 3 categories (Gr 1)|secondary|Cookie types, shapes, and decorations can be sorted into categories for data collection
|518|The Pie Song|Food & Cooking, Music & Instruments|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|518|The Pie Song|Food & Cooking, Music & Instruments|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|169|The Pie Song|Food & Cooking, Music & Instruments, Numbers & Counting|CU#11|Math & Numeracy|Count to 50 starting at any number; read and write numbers to 50 (Gr 1)|primary|Counting pie pieces reinforces number sequence and one-to-one correspondence
|169|The Pie Song|Food & Cooking, Music & Instruments, Numbers & Counting|CU#30|Math & Numeracy|Partition shapes into two/four equal shares (Gr 1)|secondary|Dividing pie into equal slices introduces fair-share and fraction concepts
|169|The Pie Song|Food & Cooking, Music & Instruments, Numbers & Counting|CU#24|Math & Numeracy|Represent and interpret data with up to 3 categories (Gr 1)|secondary|Sorting pie types by filling supports data categorization skills
|263|Plum pudding|Food & Cooking, Nature & Plants|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|263|Plum pudding|Food & Cooking, Nature & Plants|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|263|Plum pudding|Food & Cooking, Nature & Plants|CU#236|Language & Vocabulary|Explore word relationships and nuances (Gr 1)|secondary|Traditional food vocabulary explores cultural relationships and word meanings
|378|Picking Berries|Food & Cooking, Nature & Plants|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details (Gr 1)|primary|Food-themed songs provide rich sensory vocabulary for describing tastes, textures, and cooking processes
|378|Picking Berries|Food & Cooking, Nature & Plants|CU#226|Language & Vocabulary|Describe people, places, things, events (Gr 1)|primary|Cooking and food vocabulary builds descriptive language about ingredients and preparation
|378|Picking Berries|Food & Cooking, Nature & Plants|CU#24|Math & Numeracy|Represent and interpret data with up to 3 categories (Gr 1)|secondary|Sorting berries by type and color supports data categorization and classification skills
|265|Aubrey's Dreidle|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|primary|Learning about Chanukah traditions builds cultural awareness and respect for diversity
|265|Aubrey's Dreidle|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Holiday traditions encourage gratitude for family and cultural heritage
|265|Aubrey's Dreidle|Holidays & Celebrations|CU#185|Literacy & Phonics — Reading Comprehension|Identify characters, settings, major events|secondary|Chanukah story elements (dreidel, menorah, latkes) build narrative comprehension
|265|Aubrey's Dreidle|Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Dreidel game involves turn-taking, following rules, and cooperative play
|266|I have a little Dreidle|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|primary|Learning about Chanukah traditions builds cultural awareness and respect for diversity
|266|I have a little Dreidle|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Holiday traditions encourage gratitude for family and cultural heritage
|266|I have a little Dreidle|Holidays & Celebrations|CU#185|Literacy & Phonics — Reading Comprehension|Identify characters, settings, major events|secondary|Chanukah story elements (dreidel, menorah, latkes) build narrative comprehension
|266|I have a little Dreidle|Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Dreidel game involves turn-taking, following rules, and cooperative play
|269|Christmas is coming|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Christmas themes of giving and celebration encourage gratitude and generosity
|269|Christmas is coming|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Learning about Christmas traditions builds cultural awareness and respect
|272|Here is the chimney|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Christmas themes of giving and celebration encourage gratitude and generosity
|272|Here is the chimney|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Learning about Christmas traditions builds cultural awareness and respect
|272|Here is the chimney|Holidays & Celebrations|CU#185|Literacy & Phonics — Reading Comprehension|Identify characters, settings, major events|secondary|Christmas narrative elements (Santa, chimney, shepherds) build story comprehension
|272|Here is the chimney|Holidays & Celebrations|CU#76|Literacy & Phonics — Speaking & Listening|Tell a story or recount an experience with facts and descriptive details|secondary|Retelling Christmas traditions and stories develops narrative language skills
|273|Santa Claus with his long white beard|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Christmas themes of giving and celebration encourage gratitude and generosity
|273|Santa Claus with his long white beard|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Learning about Christmas traditions builds cultural awareness and respect
|273|Santa Claus with his long white beard|Holidays & Celebrations|CU#185|Literacy & Phonics — Reading Comprehension|Identify characters, settings, major events|secondary|Christmas narrative elements (Santa, chimney, shepherds) build story comprehension
|273|Santa Claus with his long white beard|Holidays & Celebrations|CU#76|Literacy & Phonics — Speaking & Listening|Tell a story or recount an experience with facts and descriptive details|secondary|Retelling Christmas traditions and stories develops narrative language skills
|277|Child of God|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Celebration songs encourage gratitude, positive reflection, and community joy
|277|Child of God|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Celebrating together builds community awareness and respect for shared traditions
|277|Child of God|Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Group celebrations foster cooperation, turn-taking, and shared experience
|278|Shepherd's Carol|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Christmas themes of giving and celebration encourage gratitude and generosity
|278|Shepherd's Carol|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Learning about Christmas traditions builds cultural awareness and respect
|278|Shepherd's Carol|Holidays & Celebrations|CU#185|Literacy & Phonics — Reading Comprehension|Identify characters, settings, major events|secondary|Christmas narrative elements (Santa, chimney, shepherds) build story comprehension
|278|Shepherd's Carol|Holidays & Celebrations|CU#76|Literacy & Phonics — Speaking & Listening|Tell a story or recount an experience with facts and descriptive details|secondary|Retelling Christmas traditions and stories develops narrative language skills
|279|Brightest and Best|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Celebration songs encourage gratitude, positive reflection, and community joy
|279|Brightest and Best|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Celebrating together builds community awareness and respect for shared traditions
|279|Brightest and Best|Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Group celebrations foster cooperation, turn-taking, and shared experience
|282|Ring it in|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Celebration songs encourage gratitude, positive reflection, and community joy
|282|Ring it in|Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Celebrating together builds community awareness and respect for shared traditions
|282|Ring it in|Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Group celebrations foster cooperation, turn-taking, and shared experience
|310|The Most Glorious Day|Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Celebration songs encourage gratitude, positive reflection, and community joy
